DATAFLOW,LAST UPDATE,freq,unit,tra_infr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,1988,59558,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,1989,63927,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,1990,64479,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,1991,64660,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,1992,64802,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,1993,65972,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,1994,66966,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,1995,66984,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,1996,66634,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,1997,66781,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,1998,68499,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,1999,68160,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2000,68126,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2001,67987,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2002,69479,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2003,68862,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2004,68854,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2005,68791,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2006,68839,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2007,68366,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2008,67948,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2009,68000,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2010,67827,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2011,67439,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2012,67400,d
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2013,67368,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2014,68040,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2015,67605,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2016,67038,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2017,68223,
ESTAT:ROAD_IF_ROADSC(1.0),05/07/23 23:00:00,A,KM,RD_COM,ES,2018,67120,
